time,pos_x,pos_y
0.0186709,0.369986 , 0.561884,
0.0181788,0.406881 , 0.563798,
0.0198062,0.442074 , 0.563056,
0.0162914,0.475385 , 0.559784,
0.0188294,0.506659 , 0.55413,
0.0175528,0.535749 , 0.546273,
0.0187962,0.562537 , 0.536413,
0.0176286,0.586942 , 0.524763,
0.0172935,0.608933 , 0.511539,
0.0175918,0.628531 , 0.49695,
0.0178855,0.645805 , 0.481179,
0.0185599,0.66086 , 0.464371,
0.0210875,0.673818 , 0.446631,
0.0200586,0.684796 , 0.428018,
0.0220479,0.69389 , 0.408553,
0.0210369,0.701154 , 0.388236,
0.0177944,0.706596 , 0.367072,
0.0206507,0.710179 , 0.345093,
0.0185385,0.711837 , 0.322381,
0.0192772,0.711499 , 0.299076,
0.0187068,0.709103 , 0.27536,
0.0197837,0.70461 , 0.251419,
0.0198697,0.698004 , 0.227432,
0.0219659,0.689293 , 0.203563,
0.0185411,0.678504 , 0.179953,
0.0194721,0.665681 , 0.15672,
0.0195684,0.650876 , 0.133955,
0.0187481,0.634152 , 0.111721,
0.0191779,0.61557 , 0.0900565,
0.0182719,0.595193 , 0.0689748,
0.0184688,0.573083 , 0.0484683,
0.0186866,0.549296 , 0.0285105,
0.0196146,0.523884 , 0.00905918,
0.0205884,0.496896 , -0.00994049,
0.0201541,0.468374 , -0.0285522,
0.0187999,0.438359 , -0.0468452,
0.0223673,0.406886 , -0.0648902,
0.0227636,0.373984 , -0.0827543,
0.018842,0.339681 , -0.100497,
0.0181671,0.304002 , -0.118165,
0.0182846,0.266988 , -0.135779,
0.0190862,0.228681 , -0.153341,
0.017747,0.189116 , -0.170833,
0.018446,0.148317 , -0.188215,
0.0186944,0.106303 , -0.205422,
0.0205204,0.0630869 , -0.222367,
0.0160899,0.0186774 , -0.238934,
0.0202853,-0.0269147 , -0.254983,
0.0161354,-0.0736752 , -0.270348,
0.0189578,-0.121581 , -0.284845,
0.0177966,-0.170596 , -0.298276,
0.016882,-0.220672 , -0.310435,
0.0157818,-0.271743 , -0.32112,
0.0174732,-0.323728 , -0.330139,
0.0167843,-0.376532 , -0.337319,
0.0222877,-0.43005 , -0.342513,
0.0164492,-0.484169 , -0.345601,
0.0170806,-0.538772 , -0.346497,
0.0161128,-0.593748 , -0.345148,
0.0188231,-0.648997 , -0.341537,
0.0169307,-0.704439 , -0.335683,
