X,Y,X_inner,Y_inner,X_outter,Y_outter
8.33386347867255,-0.867805279249069,7.86706255609415,-1.04696135277144,8.80066440125096,-0.6886492057267
8.36621192094315,-0.962404553629549,7.88745117110659,-1.1065854969471,8.84497267077971,-0.818223610312002
8.391483314685,-1.05913511285977,7.90337925547988,-1.16755294989539,8.87958737389013,-0.950717275824152
8.41012632126034,-1.15737096148633,7.91770110290117,-1.24407392754821,8.9025515396195,-1.07066799542444
8.42746691447271,-1.25585600515816,7.93504169611355,-1.34255897122004,8.91989213283188,-1.16915303909627
8.44480750768509,-1.35434104882999,7.95238228932593,-1.44104401489188,8.93723272604426,-1.26763808276811
8.46214810089747,-1.45282609250183,7.9697228825383,-1.53952905856371,8.95457331925663,-1.36612312643994
8.47948869410984,-1.55131113617366,7.98706347575068,-1.63801410223554,8.97191391246901,-1.46460817011178
8.49682928732222,-1.64979617984549,8.00440406896305,-1.73649914590738,8.98925450568139,-1.56309321378361
8.5141698805346,-1.74828122351733,8.02174466217543,-1.83498418957921,9.00659509889376,-1.66157825745544
8.53151047374697,-1.84676626718916,8.03908525538781,-1.93346923325104,9.02393569210614,-1.76006330112728
8.54885106695935,-1.94525131086099,8.05642584860018,-2.03195427692288,9.04127628531852,-1.85854834479911
8.56619166017173,-2.04373635453282,8.07376644181256,-2.13043932059471,9.05861687853089,-1.95703338847094
8.5835322533841,-2.14222139820466,8.09110703502494,-2.22892436426654,9.07595747174327,-2.05551843214277
8.60087284659648,-2.24070644187649,8.10844762823731,-2.32740940793837,9.09329806495565,-2.15400347581461
8.61821343980886,-2.33919148554832,8.12578822144969,-2.42589445161021,9.11063865816802,-2.25248851948644
8.63555403302123,-2.43767652922016,8.14312881466207,-2.52437949528204,9.1279792513804,-2.35097356315827
8.65289462623361,-2.53616157289199,8.16046940787444,-2.62286453895387,9.14531984459278,-2.44945860683011
8.67023521944599,-2.63464661656382,8.17781000108682,-2.72134958262571,9.16266043780515,-2.54794365050194
8.68757581265836,-2.73313166023566,8.1951505942992,-2.81983462629754,9.18000103101753,-2.64642869417377
8.70491640587074,-2.83161670390749,8.21249118751158,-2.91831966996937,9.19734162422991,-2.74491373784561
8.72225699908312,-2.93010174757932,8.22983178072395,-3.01680471364121,9.21468221744228,-2.84339878151744
8.73959759229549,-3.02858679125116,8.24717237393633,-3.11528975731304,9.23202281065466,-2.94188382518927
8.75693818550787,-3.12707183492299,8.26451296714871,-3.21377480098487,9.24936340386704,-3.0403688688611
8.77427877872025,-3.22555687859482,8.28185356036108,-3.31225984465671,9.26670399707941,-3.13885391253294
8.79161937193263,-3.32404192226666,8.29919415357346,-3.41074488832854,9.28404459029179,-3.23733895620477
8.808959965145,-3.42252696593849,8.31653474678584,-3.50922993200037,9.30138518350417,-3.3358239998766
8.82630055835738,-3.52101200961032,8.33387533999821,-3.6077149756722,9.31872577671654,-3.43430904354844
8.84364115156976,-3.61949705328215,8.35121593321059,-3.70620001934404,9.33606636992892,-3.53279408722027
8.86098174478213,-3.71798209695399,8.36855652642297,-3.80468506301587,9.3534069631413,-3.6312791308921
8.87832233799451,-3.81646714062582,8.38589711963534,-3.9031701066877,9.37074755635368,-3.72976417456394
8.89566293120689,-3.91495218429765,8.40323771284772,-4.00165515035954,9.38808814956605,-3.82824921823577
8.91300352441926,-4.01343722796949,8.4205783060601,-4.10014019403137,9.40542874277843,-3.9267342619076
8.93034411763164,-4.11192227164132,8.43791889927247,-4.1986252377032,9.42276933599081,-4.02521930557944
8.94768471084402,-4.21040731531315,8.45525949248485,-4.29711028137504,9.44010992920318,-4.12370434925127
8.96502530405639,-4.30889235898499,8.47260008569723,-4.39559532504687,9.45745052241556,-4.2221893929231
8.98236589726877,-4.40737740265682,8.4899406789096,-4.4940803687187,9.47479111562794,-4.32067443659494
8.99970649048115,-4.50586244632865,8.50728127212198,-4.59256541239054,9.49213170884031,-4.41915948026677
9.01704708369352,-4.60434749000049,8.52462186533436,-4.69105045606237,9.50947230205269,-4.5176445239386
9.0343876769059,-4.70283253367232,8.54196245854673,-4.7895354997342,9.52681289526507,-4.61612956761044
9.05172827011828,-4.80131757734415,8.55930305175911,-4.88802054340604,9.54415348847744,-4.71461461128227
9.06906886333065,-4.89980262101598,8.57664364497149,-4.98650558707787,9.56149408168982,-4.8130996549541
9.08640945654303,-4.99828766468782,8.59398423818386,-5.0849906307497,9.5788346749022,-4.91158469862593
9.10375004975541,-5.09677270835965,8.61132483139624,-5.18347567442153,9.59617526811457,-5.01006974229777
9.12109064296778,-5.19525775203148,8.62866542460862,-5.28196071809337,9.61351586132695,-5.1085547859696
9.13843123618016,-5.29374279570332,8.64600601782099,-5.3804457617652,9.63085645453933,-5.20703982964143
9.15577182939254,-5.39222783937515,8.66334661103337,-5.47893080543703,9.6481970477517,-5.30552487331327
9.17311242260491,-5.49071288304698,8.68068720424575,-5.57741584910887,9.66553764096408,-5.4040099169851
9.19045301581729,-5.58919792671882,8.69802779745812,-5.6759008927807,9.68287823417646,-5.50249496065693
9.20779360902967,-5.68768297039065,8.7153683906705,-5.77438593645253,9.70021882738883,-5.60098000432877
9.22513420224204,-5.78616801406248,8.73270898388288,-5.87287098012437,9.71755942060121,-5.6994650480006
